,ProductName,Platform,ListPrice,MSProduct,Multiplayer,Rating,RatingSystem,ReleaseDate,MSStoreLink
188,Mass Effect,Xbox One,19.99,true,false,Mature 17+,ESRB,2009-08-06,https://www.microsoft.com/en-us/store/p/mass-effect/BV5N90RDT0SH
189,Max: The Curse of Brotherhood,Xbox One,14.99,true,false,Everyone 10+,ESRB,2013-12-20,https://www.microsoft.com/en-us/store/p/max-the-curse-of-brotherhood/C0SFCF4PBRSZ
190,MechWarrior 5: Mercenaries,PC,49.99,false,false,Teen,ESRB,2020-05-07,https://www.microsoft.com/en-us/store/p/mechwarrior-5-mercenaries/9PB86W3JK8Z5
191,METAL GEAR SOLID HD EDITION: 2 & 3,Xbox One,19.99,true,false,Mature 17+,ESRB,2011-11-08,https://www.microsoft.com/en-us/store/p/metal-gear-solid-hd-edition-2--3/BWX1KN6K55Q1
192,Metro 2033 Redux,PC,19.99,false,false,Mature 17+,ESRB,2019-11-07,https://www.microsoft.com/en-us/store/p/metro-2033-redux/9NQ387M27TMV
193,Metro 2033 Redux,Xbox One,19.99,false,false,Mature 17+,ESRB,2014-08-26,https://www.microsoft.com/en-us/store/p/metro-2033-redux/BPPTRQZRJ341
194,Metro: Last Light Redux,PC,19.99,false,false,Mature 17+,ESRB,2019-12-12,https://www.microsoft.com/en-us/store/p/metro-last-light-redux/9NM5W1TDNQZ3
195,Metro: Last Light Redux,Xbox One,19.99,false,false,Mature 17+,ESRB,2014-08-26,https://www.microsoft.com/en-us/store/p/metro-last-light-redux/C03J6WR23XQ9
196,Microsoft Flight Simulator: Standard,PC,59.99,true,true,Everyone,ESRB,2020-08-18,https://www.microsoft.com/en-us/store/p/microsoft-flight-simulator-standard/9NXN8GF8N9HT
197,Middle-earth™: Shadow of War™,Both,49.99,false,false,Mature 17+,ESRB,2017-10-10,https://www.xbox.com/en-us/games/middle-earth-shadow-of-war
198,Minecraft,Xbox One,19.99,true,true,Everyone 10+,ESRB,2017-09-20,https://www.xbox.com/en-us/games/minecraft-xbox-one-edition
199,Minecraft Dungeons,Xbox One,19.99,true,false,Everyone 10+,ESRB,2020-05-26,https://www.microsoft.com/en-us/store/p/minecraft-dungeons/9N8NJ74FZTG9
200,Minecraft Dungeons - Windows 10,PC,19.99,true,false,Everyone 10+,ESRB,2020-05-26,https://www.microsoft.com/en-us/store/p/minecraft-dungeons---windows-10/9P8MK4NC0LJB
201,MINIT,Xbox One,9.99,false,false,Everyone,ESRB,2018-04-03,https://www.microsoft.com/en-us/store/p/minit/C120V2WGRMCH
202,Minit,PC,9.99,false,false,Everyone,ESRB,2019-10-24,https://www.microsoft.com/en-us/store/p/minit/9PJR1F15JBX0
203,MISTOVER,PC,29.99,false,false,Teen,ESRB,2019-10-10,https://www.microsoft.com/en-us/store/p/mistover/9P8K66J3CQ9S
204,Momodora: Reverie Under the Moonlight,Xbox One,9.99,false,false,Teen,ESRB,2017-03-17,https://www.microsoft.com/en-us/store/p/momodora-reverie-under-the-moonlight/BPKQZ245CQ2H
205,Momodora: Reverie Under the Moonlight,PC,9.99,false,false,Teen,ESRB,2017-10-19,https://www.microsoft.com/en-us/store/p/momodora-reverie-under-the-moonlight/9NZL00LF4V58
206,MONSTER HUNTER: WORLD™,Xbox One,29.99,false,true,Teen,ESRB,2018-01-26,https://www.xbox.com/en-us/games/monster-hunter-world
207,Moonlighter,Both,19.99,false,false,Everyone 10+,ESRB,2018-05-29,https://www.microsoft.com/en-us/store/p/moonlighter/9P8XJRLCLH2P
208,Mortal Kombat X,Xbox One,19.99,false,true,Mature 17+,ESRB,2015-04-14,https://www.microsoft.com/en-us/store/p/mortal-kombat-x/C01Z9J8S9BJP
209,Mother Russia Bleeds,PC,14.99,false,false,Mature 17+,ESRB,2020-03-05,https://www.microsoft.com/en-us/store/p/mother-russia-bleeds/9NVFHBKDLPM4
210,Mount & Blade: Warband,Xbox One,19.99,false,true,Teen,ESRB,2016-09-16,https://www.microsoft.com/en-us/store/p/mount--blade-warband/BQXN1S3V3FN9
211,Moving Out,Xbox One,24.99,false,true,Everyone,ESRB,2020-04-28,https://www.microsoft.com/en-us/store/p/moving-out/9NXPBSMHPLTV
212,Moving Out,PC,24.99,false,true,Everyone,ESRB,2020-04-28,https://www.microsoft.com/en-us/store/p/moving-out/9N9H593X8SVP
213,MudRunner,Xbox One,34.99,false,false,Everyone,ESRB,2017-10-31,https://www.microsoft.com/en-us/store/p/mudrunner/BTSQF5T410C6
214,MudRunner,PC,24.99,false,false,Everyone,ESRB,2019-06-09,https://www.microsoft.com/en-us/store/p/mudrunner/9N58J0GM9MRP
215,Munchkin: Quacked Quest,Both,24.99,false,true,Everyone 10+,ESRB,2019-11-19,https://www.microsoft.com/en-us/store/p/munchkin-quacked-quest/9N80L1CTZ86W
216,Mutant Year Zero: Road to Eden,Both,34.99,false,false,Mature 17+,ESRB,2018-12-04,https://www.microsoft.com/en-us/store/p/mutant-year-zero-road-to-eden/9NMP9B9KMKLF
217,My Friend Pedro,Xbox One,19.99,false,false,Mature 17+,ESRB,2019-12-05,https://www.microsoft.com/en-us/store/p/my-friend-pedro/9P16M6LF0QFH
218,My Friend Pedro Win10,PC,19.99,false,false,Mature 17+,ESRB,2019-12-05,https://www.microsoft.com/en-us/store/p/my-friend-pedro-win10/9NMH293554QQ
219,My Time At Portia,Xbox One,29.99,false,false,Everyone 10+,ESRB,2019-04-16,https://www.microsoft.com/en-us/store/p/my-time-at-portia/BX1FZX1X4132
220,My Time At Portia,PC,29.99,false,false,Everyone 10+,ESRB,2019-07-04,https://www.microsoft.com/en-us/store/p/my-time-at-portia/9NBLSN1JP7TH
221,NARUTO TO BORUTO: SHINOBI STRIKER,Xbox One,59.99,false,true,Teen,ESRB,2018-08-31,https://www.microsoft.com/en-us/store/p/naruto-to-boruto-shinobi-striker/BRX56LQJMZ4G
222,NBA 2K20,Xbox One,59.99,false,true,Everyone,ESRB,2019-09-06,https://www.xbox.com/en-us/games/nba-2k20
223,Neon Abyss,Xbox One,19.99,false,false,Teen,ESRB,2020-07-14,https://www.microsoft.com/en-us/store/p/neon-abyss/9NC781DK18GN
224,Neon Abyss,PC,19.99,false,false,Teen,ESRB,2020-07-14,https://www.microsoft.com/en-us/store/p/neon-abyss/9PLWSGHFQ4PS
225,New Super Lucky's Tale,Both,39.99,false,false,Everyone,ESRB,2020-08-21,https://www.microsoft.com/en-us/store/p/new-super-luckys-tale/9MZN3SMXN824
226,NieR:Automata™ BECOME AS GODS Edition,Xbox One,39.99,false,false,Mature 17+,ESRB,2018-06-26,https://www.xbox.com/en-us/games/nier-automata
227,Night Call,Xbox One,19.99,false,false,Mature 17+,ESRB,2020-06-24,https://www.microsoft.com/en-us/store/p/night-call/9NZKR4V4QGD4
228,Night Call,PC,19.99,false,false,Mature 17+,ESRB,2019-07-17,https://www.microsoft.com/en-us/store/p/night-call/9N5KSQG0R9TB
229,NINJA GAIDEN II,Xbox One,29.99,true,false,Mature 17+,ESRB,2009-07-29,https://www.microsoft.com/en-us/store/p/ninja-gaiden-ii/BSCSRTX27ZH3
230,No Man's Sky,Both,49.99,false,true,Teen,ESRB,2018-07-24,https://www.microsoft.com/en-us/store/p/no-mans-sky/BQVQTL3PCH05
231,Nowhere Prophet,Both,24.99,false,false,Teen,ESRB,2020-07-29,https://www.microsoft.com/en-us/store/p/nowhere-prophet/9P01NRSZCVR6
232,Observation,Both,24.99,false,false,Mature 17+,ESRB,2020-06-25,https://www.microsoft.com/en-us/store/p/observation/9PBLH1322GX0
233,Ori and the Blind Forest: Definitive Edition,Xbox One,19.99,true,false,Everyone,ESRB,2016-03-11,https://www.microsoft.com/en-us/store/p/ori-and-the-blind-forest-definitive-edition/BW85KQB8Q31M
234,Ori and the Blind Forest: Definitive Edition,PC,19.99,true,false,Everyone,ESRB,2016-03-30,https://www.microsoft.com/en-us/store/p/ori-and-the-blind-forest-definitive-edition/9NBLGGH1Z6FB
235,Ori and the Will of the Wisps,Both,29.99,true,false,Everyone,ESRB,2020-03-11,https://www.xbox.com/en-us/games/ori-will-of-the-wisps
236,Out of the Park Baseball 21,PC,39.99,false,false,Everyone,ESRB,2020-06-25,https://www.microsoft.com/en-us/store/p/out-of-the-park-baseball-21/9NNW9V8DVPG6
237,Outer Wilds,Xbox One,24.99,false,false,Everyone 10+,ESRB,2019-05-29,https://www.microsoft.com/en-us/store/p/outer-wilds/C596FKDKMQN7
238,Overcooked! 2,Xbox One,24.99,false,true,Everyone,ESRB,2018-08-07,https://www.microsoft.com/en-us/store/p/overcooked-2/BVJLKDG2TX8H
239,Overcooked! 2,PC,24.99,false,true,Everyone,ESRB,2020-04-02,https://www.microsoft.com/en-us/store/p/overcooked-2/9PGB72NFG5JN
